Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Swimming,BS,Stimulus,BSC,Yes,No,0:19,0:44,,
Sitting,BS,Stimulus,BSC,Yes,Yes,0:44,1:02,,
Sitting,BS,Stimulus,BSC,Yes,No,,1:05,,
Swimming,BS,Stimulus,BSC,Yes,No,,1:07,,
Sitting,BS,Stimulus,BSC,Yes,No,,1:11,,
Sitting,BS,Stimulus,BSC,Yes,Yes,,1:48,,
Sitting,BS,Stimulus,BSC,Yes,No,,2:35,,
Swimming,BS,Stimulus,BSC,Yes,No,,2:36,,
Sitting,BS,Stimulus,BSC,Yes,No,,2:38,,
Sitting,BS,Stimulus,BSC,Yes,Yes,,2:44,,
Sitting,BS,Stimulus,BSC,Yes,No,,2:49,,
Swimming,BS,Stimulus,BSC,Yes,No,,2:50,,
Swimming,BS,Stimulus,SW,Yes,No,,2:55,,
Swimming,FS,Stimulus,SW,Yes,No,,2:57,,
Swimming,FS,Stimulus,FSC,Yes,No,,2:58,,
Swimming,FS,Stimulus,FNW,Yes,No,,3:00,,
Swimming,FS,Stimulus,FNW,Yes,No,0:00,0:09,,
Swimming,FC,Control,FNW,Yes,No,0:09,0:13,,
Sitting,FC,Control,FCC,No,Yes,,1:31,,
Sitting,FC,Control,CW,No,No,,1:35,,
Swimming,FC,Control,CW,No,No,,1:38,,
Sitting,FC,Control,CW,No,No,,2:07,,
Sitting,FC,Control,CW,No,Yes,,2:19,,
